state,theta,phi,acceleration,height
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,-11.0,-0.27,579.41,36.27
1,17.71,4.34,566.77,117.03
1,3.62,13.35,576.93,175.14
1,-12.87,8.56,551.98,224.28
1,-18.56,-19.75,544.78,281.61
1,-18.96,-2.43,529.72,318.77
1,4.8,2.61,528.6,389.19
1,7.57,3.11,556.12,454.56
1,15.14,12.23,572.67,527.58
1,8.25,-10.06,579.55,574.34
1,2.39,3.78,539.64,617.5
1,0.68,-10.07,535.17,658.36
1,-14.46,7.39,501.04,729.69
1,6.87,-3.58,512.21,752.4
1,2.93,10.53,520.93,801.22
1,-2.43,-29.08,516.13,863.7
1,13.63,-6.63,508.06,919.8
1,-8.72,9.85,533.13,981.93
1,3.42,2.09,567.66,1020.38
1,-5.76,-12.11,552.52,1071.92
1,3.23,-7.59,543.17,1127.37
1,2.48,3.34,542.4,1173.96
1,-9.64,24.0,517.26,1218.84
1,-12.42,0.88,524.18,1258.06
1,1.46,10.79,515.2,1316.2
1,2.67,14.66,513.77,1359.02
1,4.12,-2.1,493.0,1404.89
1,-1.94,-2.59,520.19,1447.29
1,-6.36,0.68,533.87,1492.37
1,-4.59,-0.17,498.0,1550.79
1,1.42,10.7,533.86,1592.85
1,9.46,1.27,544.56,1641.61
1,-4.76,-11.82,536.9,1710.2
1,-4.35,-0.29,530.58,1767.05
1,3.22,-5.56,510.72,1833.49
1,-3.98,3.02,473.99,1873.06
1,-5.52,36.59,496.92,1917.76
1,9.34,3.89,483.67,1974.15
1,-27.55,-17.68,513.08,2011.97
1,0.1,8.67,555.02,2070.84
1,-7.34,-0.39,531.62,2135.87
1,11.49,1.7,566.14,2209.85
1,17.32,-13.34,543.54,2265.63
1,-12.31,3.54,553.33,2307.04
1,-2.78,3.46,530.36,2350.63
1,-2.54,2.9,535.83,2388.26
1,4.03,-8.53,547.83,2446.71
1,4.3,7.11,533.3,2509.69
1,-9.03,-8.48,519.27,2557.44
1,-3.37,-25.86,517.24,2601.88
1,2.47,6.81,553.61,2644.98
1,-5.54,-2.76,546.24,2689.22
1,-9.74,-8.6,518.15,2752.02
1,-10.74,29.71,526.12,2798.98
1,0.28,-1.36,536.66,2859.67
1,-2.29,5.26,544.92,2930.86
1,7.84,-9.26,523.75,2961.69
1,9.01,-10.33,556.97,3024.27
1,-11.0,-13.02,575.17,3088.18
1,2.98,15.5,564.77,3156.89
1,9.42,4.33,557.26,3226.7
1,25.52,23.26,542.43,3285.63
1,-16.65,-25.72,555.48,3334.43
1,-6.62,26.6,570.17,3382.11
1,-6.2,-1.05,555.24,3445.61
1,0.47,-15.97,534.89,3496.86
1,-1.62,3.85,503.6,3546.68
1,-3.82,1.3,492.89,3600.27
1,-11.79,14.31,473.28,3673.2
1,-5.42,10.61,490.01,3735.62
1,-2.39,-20.32,439.0,3782.65
1,-0.45,10.91,399.34,3828.71
1,1.33,6.4,412.08,3871.68
1,5.91,-3.28,405.07,3925.97
1,-16.39,7.18,383.95,3957.82
1,-10.41,8.4,384.64,4019.38
1,-10.86,-16.63,395.04,4065.19
1,6.89,5.27,415.36,4115.73
1,3.44,-7.19,395.78,4161.23
1,2.62,-4.29,387.54,4191.61
1,-11.64,8.78,359.4,4203.09
1,15.9,-3.05,356.14,4242.54
1,2.0,-3.84,343.1,4285.17
1,-9.7,-0.21,355.54,4317.24
1,6.73,2.59,385.5,4355.18
1,-2.31,7.5,371.4,4394.25
1,-9.31,-10.94,329.08,4439.55
1,4.78,1.57,322.96,4462.74
1,-27.57,2.79,342.13,4492.21
1,1.91,-9.81,364.58,4540.92
1,-0.35,5.02,365.14,4572.12
1,-13.14,13.86,402.93,4619.25
1,-8.45,10.29,406.28,4663.08
1,10.39,-13.02,383.61,4709.21
1,-11.19,0.49,417.21,4751.46
1,16.96,0.06,422.61,4790.48
1,2.53,14.18,410.7,4830.37
1,-6.36,-2.16,409.73,4865.88
1,0.48,-6.69,385.89,4884.4
1,6.07,1.23,386.67,4944.93
1,0.44,-19.24,397.52,4979.98
1,-6.79,3.88,361.47,5018.64
1,12.7,-4.4,372.61,5053.45
1,2.6,13.42,367.97,5092.69
1,-10.22,3.67,373.44,5110.31
1,-4.41,8.17,357.88,5135.4
1,-10.74,9.87,383.17,5167.66
1,-12.33,-3.87,400.53,5208.2
1,-10.96,26.73,400.01,5249.01
1,3.39,3.79,346.85,5287.14
1,1.18,4.69,357.0,5320.2
1,-15.04,-8.11,370.7,5354.88
1,-23.73,-0.72,321.36,5407.14
1,11.26,-0.08,306.95,5433.26
1,5.03,-12.77,289.66,5468.8
1,-2.2,1.63,288.57,5476.69
1,-1.89,-0.15,269.47,5517.35
1,-3.51,-3.84,253.74,5535.27
1,-9.95,0.69,250.54,5575.79
1,-0.89,-12.23,234.8,5601.76
1,-1.35,-6.47,225.55,5638.4
1,-9.52,7.42,213.42,5658.46
1,8.92,15.51,218.55,5683.93
1,-0.13,16.38,225.55,5720.03
1,-28.52,0.19,217.75,5746.33
1,14.61,-4.9,230.28,5778.85
1,4.86,8.51,251.2,5805.74
1,7.09,0.71,259.91,5825.26
1,-17.93,-6.91,239.66,5867.67
1,-11.36,-7.17,237.18,5887.81
1,2.05,11.01,240.94,5918.11
1,12.6,0.19,218.2,5944.33
1,-8.72,-11.38,234.44,5958.34
1,20.12,-3.29,258.76,5985.08
1,12.95,15.38,251.3,5988.33
1,-0.57,-6.06,258.38,5995.7
1,-5.43,-17.19,268.03,6022.72
1,4.87,2.43,232.92,6046.71
